shipment_date,trial_date,predator,treatment,tod,choice,time_choice,percent
5/30/2024,5/31/2024,lacewing,wheast_control,11:15,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,11:45,0,1:55,1
5/30/2024,5/31/2024,lacewing,wheast_control,1:10,1,7:27,1
5/30/2024,5/31/2024,lacewing,wheast_control,1:30,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,1:50,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,2:20,1,6:25,1
5/30/2024,5/31/2024,lacewing,wheast_control,2:45,1,1:04,1
5/30/2024,5/31/2024,lacewing,wheast_control,3:15,,,0
5/30/2024,5/31/2024,lacewing,wheast_control,3:40,0,8:10,1
5/30/2024,6/3/2024,lacewing,wheast_control,10:45,0,1:30,1
5/30/2024,6/3/2024,lacewing,wheast_control,11:00,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,11:40,0,0:00,1
5/30/2024,6/3/2024,lacewing,wheast_control,1:15,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,1:35,1,4:30,1
5/30/2024,6/3/2024,lacewing,wheast_control,2:00,1,0:13,1
5/30/2024,6/3/2024,lacewing,wheast_control,2:20,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,2:40,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,3:10,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,3:26,,,0
5/30/2024,6/3/2024,lacewing,wheast_control,3:45,0,1:36,1
5/30/2024,6/4/2024,lacewing,wheast_control,9:00,1,2:30,1
5/30/2024,6/4/2024,lacewing,wheast_control,9:15,1,0:06,1
5/30/2024,6/4/2024,lacewing,wheast_control,1:50,0,3:30,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:00,1,2:00,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:20,1,0:14,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:40,0,5:50,1
5/30/2024,6/4/2024,lacewing,wheast_control,2:55,1,0:25,1
5/30/2024,6/4/2024,lacewing,wheast_control,3:15,0,3:00,1
5/30/2024,6/4/2024,lacewing,wheast_control,3:30,,,0
5/30/2024,6/4/2024,lacewing,wheast_control,3:50,1,3:20,1
5/30/2024,6/4/2024,lacewing,wheast_control,4:05,,,0
5/30/2024,6/4/2024,lacewing,wheast_control,4:15,1,7:12,1
6/23/2024,6/27/2024,lacewing,cmbs_control,1:55,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,1,1:50,1
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,6/27/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,1,3:40,1
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
6/23/2024,7/3/2024,lacewing,cmbs_control,na,0,2:50,1
6/23/2024,7/3/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,1,1:16,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,0,1:30,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,0,5:00,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,cmbs_control,na,0,3:00,1
8/13/2024,8/16/2024,lacewing,cmbs_control,na,,,0
8/13/2024,8/16/2024,lacewing,aphids_control,na,,,0
8/13/2024,8/16/2024,lacewing,aphids_control,na,0,5:00,1
8/13/2024,8/16/2024,lacewing,aphids_control,na,0,5:18,1
