treenumber,treatment,aphid_rating,sm_rating,twig_length,ant_rating,under_cmbs,top_cmbs,total_cmbs,1hr,4hr,8hr,24hr,2days,3days,4days,5days,6days,7days,8days,9days,10days,11days,12days,14days,15days,16days,17days,18days,19days,20days,21days,22days,23days,24days,25days,26days,27days,28days,29days,30days,31days,32days,33days,34days,sdb_sightings,pres_ab,final_aphid,final_ant,final_sm,final_cmbs_top,final_cmbs_under,final_cmbs,resident_ne,,,,notes
1,control,1,4,102,4,9,4,6.5,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,4,3,1,7,4,LW eggs,,,,
2,wheast_spray,2,4,173.5,2,8,3,5.5,1,2,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,3,2,2,7,4.5,Ladybeetle,,,,
3,wheast_paste,2,2,181.5,3,6,5,5.5,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,3,2,2,9,5.5,,,,,
4,wheast_spray,1,2,148.5,1,6,6,6,0,2,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,1,1,1,8,4.5,,,,,
5,fructose,1,3,179.75,3,9,4,6.5,3,2,2,1,1,0,2,1,1,1,3,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,1,3,2,1,8,4.5,Ladybeete,,,,
6,wheast_paste,1,1,164.5,3,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,4,3,3.5,,,,,
7,fructose,4,2,89.5,2,9,6,7.5,1,1,1,1,2,3,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,1,3,1,2,8,5,,,,,
8,wheast_paste,3,3,180.5,3,9,7,8,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,3,1,9,5,yellow jacket,,,,
9,sprite,1,1,165.5,1,9,6,7.5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,1,8,4.5,Lw eggs,,,,
10,control,2,2,140,1,9,8,8.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,3,2,9,5.5,"yellow jacket, twice stabbed ladybeetle, black beetle with brown margins",,,,
11,sprite,1,3,139,1,9,6,7.5,4,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,15,9,1,3,2,3,9,6,,,,,
12,wheast_paste,2,2,223.5,1,9,5,7,2,3,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1,2,2,2,9,5.5,twice stabbed ladybeetle,,,,
13,sprite,2,4,98,4,8,4,6,2,2,1,0,0,1,0,0,1,1,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,1,3,2,1,9,5,,,,,
14,control,2,3,101,3,10,6,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,4,2,9,5.5,,,,,sdbs mating
15,sprite,1,3,180.5,2,6,6,6,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,1,2,1,7,4,twice stabbed lady beetle,,,,
16,wheast_spray,3,2,134,2,9,7,8,2,1,2,2,1,2,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,1,3,2,1,6,3.5,ladybeetle,,,,
17,wheast_spray,3,2,208.5,2,5,2,3.5,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,3,1,1,6,3.5,ladybeetle,,,,
18,control,1,1,258,3,8,8,8,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,3,1,7,9,8,twice stabbed lady beetle,,,,
19,wheast_spray,1,2,103,3,9,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,1,7,4,"ladybeetle, seven spotted ladybeetle",,,,
20,control,2,4,82,3,9,7,8,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,1,3,7,9,8,"ladybeetle, lacewing eggs",,,,
21,fructose,1,2,153,3,7,2,4.5,3,2,3,2,0,0,2,0,0,0,2,2,1,0,1,2,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,30,20,1,4,3,4,9,6.5,yellow jacket,,,,
