treatment,plant,day,num_sdb
control,1,0.041666667,3
control,1,0.166666667,3
control,1,0.333333333,4
control,1,1,1
control,1,2,0
control,1,3,0
control,1,4,0
control,1,5,0
control,1,6,0
control,1,7,0
control,1,8,0
control,1,9,0
control,1,10,0
control,1,11,0
control,1,12,0
control,1,14,0
control,1,15,0
control,1,16,0
control,1,17,0
control,1,18,0
control,1,19,0
control,1,20,0
control,1,21,0
control,1,22,0
control,1,23,0
control,1,24,0
control,1,25,0
control,1,26,0
control,1,27,0
control,1,28,0
control,1,29,0
control,1,30,0
control,1,31,0
control,1,32,0
control,1,33,0
control,1,34,0
control,10,0.041666667,1
control,10,0.166666667,1
control,10,0.333333333,1
control,10,1,0
control,10,2,0
control,10,3,0
control,10,4,0
control,10,5,1
control,10,6,0
control,10,7,0
control,10,8,0
control,10,9,0
control,10,10,0
control,10,11,0
control,10,12,0
control,10,14,0
control,10,15,0
control,10,16,0
control,10,17,0
control,10,18,0
control,10,19,0
control,10,20,0
control,10,21,0
control,10,22,0
control,10,23,0
control,10,24,0
control,10,25,0
control,10,26,0
control,10,27,0
control,10,28,0
control,10,29,0
control,10,30,0
control,10,31,0
control,10,32,0
control,10,33,0
control,10,34,0
control,14,0.041666667,0
control,14,0.166666667,2
control,14,0.333333333,0
control,14,1,1
control,14,2,1
control,14,3,0
control,14,4,0
control,14,5,0
control,14,6,0
control,14,7,0
control,14,8,0
control,14,9,0
control,14,10,0
control,14,11,0
control,14,12,0
control,14,14,0
control,14,15,0
control,14,16,0
control,14,17,0
control,14,18,0
control,14,19,0
control,14,20,0
control,14,21,0
control,14,22,0
control,14,23,0
control,14,24,0
control,14,25,0
control,14,26,0
control,14,27,0
control,14,28,0
control,14,29,0
control,14,30,0
control,14,31,0
control,14,32,0
control,14,33,0
control,14,34,0
control,18,0.041666667,3
control,18,0.166666667,2
control,18,0.333333333,1
control,18,1,1
control,18,2,0
control,18,3,0
control,18,4,0
control,18,5,0
control,18,6,0
control,18,7,0
control,18,8,0
control,18,9,0
control,18,10,0
control,18,11,0
control,18,12,0
control,18,14,0
control,18,15,0
control,18,16,0
control,18,17,0
control,18,18,0
control,18,19,0
control,18,20,0
control,18,21,0
control,18,22,0
control,18,23,0
control,18,24,0
control,18,25,0
control,18,26,0
control,18,27,0
control,18,28,0
control,18,29,0
control,18,30,0
control,18,31,0
control,18,32,0
control,18,33,0
control,18,34,0
control,20,0.041666667,3
control,20,0.166666667,3
control,20,0.333333333,1
control,20,1,0
control,20,2,0
control,20,3,1
control,20,4,0
control,20,5,0
control,20,6,0
control,20,7,0
control,20,8,0
control,20,9,0
control,20,10,0
control,20,11,0
control,20,12,0
control,20,14,0
control,20,15,0
control,20,16,0
control,20,17,0
control,20,18,0
control,20,19,0
control,20,20,0
control,20,21,0
control,20,22,0
control,20,23,0
control,20,24,0
control,20,25,0
control,20,26,0
control,20,27,0
control,20,28,0
control,20,29,0
control,20,30,0
control,20,31,0
control,20,32,0
control,20,33,0
control,20,34,0
control,25,0.041666667,1
control,25,0.166666667,1
control,25,0.333333333,2
control,25,1,1
control,25,2,1
control,25,3,2
control,25,4,0
control,25,5,0
control,25,6,0
control,25,7,0
control,25,8,0
control,25,9,1
control,25,10,1
control,25,11,1
control,25,12,0
control,25,14,0
control,25,15,1
control,25,16,0
control,25,17,0
control,25,18,0
control,25,19,0
control,25,20,1
control,25,21,1
control,25,22,1
control,25,23,0
control,25,24,0
control,25,25,0
control,25,26,0
control,25,27,1
control,25,28,0
control,25,29,1
control,25,30,0
control,25,31,0
control,25,32,0
control,25,33,0
control,25,34,0
control,32,0.041666667,1
control,32,0.166666667,0
control,32,0.333333333,1
control,32,1,2
control,32,2,1
control,32,3,1
control,32,4,0
control,32,5,0
control,32,6,0
control,32,7,1
control,32,8,1
control,32,9,1
control,32,10,1
control,32,11,0
control,32,12,1
control,32,14,0
control,32,15,0
control,32,16,0
control,32,17,0
control,32,18,0
control,32,19,0
control,32,20,0
control,32,21,0
control,32,22,0
control,32,23,0
control,32,24,0
control,32,25,0
control,32,26,0
control,32,27,0
control,32,28,0
control,32,29,0
control,32,30,0
control,32,31,0
control,32,32,0
control,32,33,0
control,32,34,0
control,40,0.041666667,0
control,40,0.166666667,0
control,40,0.333333333,0
control,40,1,1
control,40,2,1
control,40,3,1
control,40,4,0
control,40,5,0
control,40,6,0
control,40,7,0
control,40,8,0
control,40,9,0
control,40,10,0
control,40,11,0
control,40,12,0
control,40,13,0
control,40,14,0
control,40,15,0
control,40,16,0
control,40,17,0
control,40,18,0
control,40,19,0
control,40,20,0
control,40,21,0
control,40,22,0
control,40,23,0
control,40,24,0
control,40,25,0
control,40,26,0
control,40,27,0
control,40,28,0
control,40,29,0
control,40,30,0
control,40,31,0
control,40,32,0
control,40,33,0
control,40,34,0
control,41,0.041666667,1.5
control,41,0.166666667,1.5
control,41,0.333333333,1.25
control,41,1,0.875
control,41,2,0.5
control,41,3,0.625
control,41,4,0
control,41,5,0.125
control,41,6,0
control,41,7,0.125
control,41,8,0.125
control,41,9,0.25
control,41,10,0.25
control,41,11,0.125
control,41,12,0.125
control,41,14,0
control,41,15,0.125
control,41,16,0
control,41,17,0
control,41,18,0
control,41,19,0
control,41,20,0.125
control,41,21,0.125
control,41,22,0.125
control,41,23,0
control,41,24,0
control,41,25,0
control,41,26,0
control,41,27,0.125
control,41,28,0
control,41,29,0.125
control,41,30,0
control,41,31,0
control,41,32,0
control,41,33,0
control,41,34,0
fructose,5,0.041666667,3
fructose,5,0.166666667,2
fructose,5,0.333333333,2
fructose,5,1,1
fructose,5,2,1
fructose,5,3,0
fructose,5,4,2
fructose,5,5,1
fructose,5,6,1
fructose,5,7,1
fructose,5,8,3
fructose,5,9,2
fructose,5,10,0
fructose,5,11,0
fructose,5,12,2
fructose,5,14,3
fructose,5,15,0
fructose,5,16,0
fructose,5,17,0
fructose,5,18,0
fructose,5,19,0
fructose,5,20,0
fructose,5,21,0
fructose,5,22,0
fructose,5,23,0
fructose,5,24,0
fructose,5,25,0
fructose,5,26,0
fructose,5,27,0
fructose,5,28,0
fructose,5,29,0
fructose,5,30,0
fructose,5,31,0
fructose,5,32,0
fructose,5,33,0
fructose,5,34,0
fructose,7,0.041666667,1
fructose,7,0.166666667,1
fructose,7,0.333333333,1
fructose,7,1,1
fructose,7,2,2
fructose,7,3,3
fructose,7,4,0
fructose,7,5,2
fructose,7,6,1
fructose,7,7,1
fructose,7,8,1
fructose,7,9,0
fructose,7,10,0
fructose,7,11,0
fructose,7,12,1
fructose,7,14,0
fructose,7,15,0
fructose,7,16,0
fructose,7,17,0
fructose,7,18,0
fructose,7,19,0
fructose,7,20,0
fructose,7,21,0
fructose,7,22,0
fructose,7,23,0
fructose,7,24,0
fructose,7,25,0
fructose,7,26,0
fructose,7,27,0
fructose,7,28,0
fructose,7,29,0
fructose,7,30,0
fructose,7,31,0
fructose,7,32,0
fructose,7,33,0
fructose,7,34,0
fructose,21,0.041666667,3
fructose,21,0.166666667,2
fructose,21,0.333333333,3
fructose,21,1,2
fructose,21,2,0
fructose,21,3,0
fructose,21,4,2
fructose,21,5,0
fructose,21,6,0
fructose,21,7,0
fructose,21,8,2
fructose,21,9,2
fructose,21,10,1
fructose,21,11,0
fructose,21,12,1
fructose,21,14,2
fructose,21,15,0
fructose,21,16,1
fructose,21,17,1
fructose,21,18,1
fructose,21,19,0
fructose,21,20,0
fructose,21,21,0
fructose,21,22,0
fructose,21,23,1
fructose,21,24,1
fructose,21,25,1
fructose,21,26,0
fructose,21,27,1
fructose,21,28,1
fructose,21,29,0
fructose,21,30,0
fructose,21,31,1
fructose,21,32,1
fructose,21,33,0
fructose,21,34,0
fructose,22,0.041666667,2
fructose,22,0.166666667,2
fructose,22,0.333333333,0
fructose,22,1,0
fructose,22,2,0
fructose,22,3,0
fructose,22,4,0
fructose,22,5,0
fructose,22,6,0
fructose,22,7,0
fructose,22,8,0
fructose,22,9,0
fructose,22,10,0
fructose,22,11,0
fructose,22,12,0
fructose,22,14,0
fructose,22,15,0
fructose,22,16,0
fructose,22,17,0
fructose,22,18,0
fructose,22,19,0
fructose,22,20,0
fructose,22,21,0
fructose,22,22,0
fructose,22,23,0
fructose,22,24,0
fructose,22,25,0
fructose,22,26,0
fructose,22,27,0
fructose,22,28,0
fructose,22,29,0
fructose,22,30,0
fructose,22,31,0
fructose,22,32,0
fructose,22,33,0
fructose,22,34,0
fructose,23,0.041666667,0
fructose,23,0.166666667,0
fructose,23,0.333333333,0
fructose,23,1,0
fructose,23,2,0
fructose,23,3,0
fructose,23,4,0
fructose,23,5,0
fructose,23,6,0
fructose,23,7,0
fructose,23,8,0
fructose,23,9,0
fructose,23,10,0
fructose,23,11,0
fructose,23,12,0
fructose,23,14,0
fructose,23,15,0
fructose,23,16,0
fructose,23,17,0
fructose,23,18,0
fructose,23,19,0
fructose,23,20,0
fructose,23,21,0
fructose,23,22,0
fructose,23,23,0
fructose,23,24,0
fructose,23,25,0
fructose,23,26,0
fructose,23,27,0
fructose,23,28,0
fructose,23,29,0
fructose,23,30,0
fructose,23,31,0
fructose,23,32,0
fructose,23,33,0
fructose,23,34,0
fructose,29,0.041666667,1
fructose,29,0.166666667,2
fructose,29,0.333333333,2
fructose,29,1,0
fructose,29,2,0
fructose,29,3,1
fructose,29,4,0
fructose,29,5,0
fructose,29,6,0
fructose,29,7,0
fructose,29,8,0
fructose,29,9,0
fructose,29,10,0
fructose,29,11,0
fructose,29,12,0
fructose,29,14,0
fructose,29,15,0
fructose,29,16,0
fructose,29,17,0
fructose,29,18,0
fructose,29,19,0
fructose,29,20,0
fructose,29,21,0
fructose,29,22,0
fructose,29,23,0
fructose,29,24,0
fructose,29,25,0
fructose,29,26,0
fructose,29,27,0
fructose,29,28,0
fructose,29,29,0
fructose,29,30,0
fructose,29,31,0
fructose,29,32,0
fructose,29,33,0
fructose,29,34,0
fructose,30,0.041666667,0
fructose,30,0.166666667,1
fructose,30,0.333333333,2
fructose,30,1,1
fructose,30,2,0
fructose,30,3,1
fructose,30,4,1
fructose,30,5,1
fructose,30,6,2
fructose,30,7,0
fructose,30,8,0
fructose,30,9,0
fructose,30,10,1
fructose,30,11,0
fructose,30,12,0
fructose,30,14,1
fructose,30,15,1
fructose,30,16,2
fructose,30,17,2
fructose,30,18,0
fructose,30,19,0
fructose,30,20,0
fructose,30,21,0
fructose,30,22,0
fructose,30,23,1
fructose,30,24,0
fructose,30,25,0
fructose,30,26,0
fructose,30,27,0
fructose,30,28,0
fructose,30,29,0
fructose,30,30,0
fructose,30,31,0
fructose,30,32,0
fructose,30,33,0
fructose,30,34,0
fructose,34,0.041666667,1
fructose,34,0.166666667,1
fructose,34,0.333333333,0
fructose,34,1,1
fructose,34,2,1
fructose,34,3,1
fructose,34,4,0
fructose,34,5,0
fructose,34,6,1
fructose,34,7,0
fructose,34,8,0
fructose,34,9,0
fructose,34,10,0
fructose,34,11,1
fructose,34,12,0
fructose,34,14,2
fructose,34,15,2
fructose,34,16,2
fructose,34,17,1
fructose,34,18,0
fructose,34,19,0
fructose,34,20,0
fructose,34,21,0
fructose,34,22,0
fructose,34,23,0
fructose,34,24,0
fructose,34,25,0
fructose,34,26,0
fructose,34,27,0
fructose,34,28,0
fructose,34,29,0
fructose,34,30,0
fructose,34,31,0
fructose,34,32,0
fructose,34,33,0
fructose,34,34,0
fructose,41,0.041666667,1.375
fructose,41,0.166666667,1.375
fructose,41,0.333333333,1.25
fructose,41,1,0.75
fructose,41,2,0.5
fructose,41,3,0.75
fructose,41,4,0.625
fructose,41,5,0.5
fructose,41,6,0.625
fructose,41,7,0.25
fructose,41,8,0.75
fructose,41,9,0.5
fructose,41,10,0.25
fructose,41,11,0.125
fructose,41,12,0.5
fructose,41,14,1
fructose,41,15,0.375
fructose,41,16,0.625
fructose,41,17,0.5
fructose,41,18,0.125
fructose,41,19,0
fructose,41,20,0
fructose,41,21,0
fructose,41,22,0
fructose,41,23,0.25
fructose,41,24,0.125
fructose,41,25,0.125
fructose,41,26,0
fructose,41,27,0.125
fructose,41,28,0.125
fructose,41,29,0
fructose,41,30,0
fructose,41,31,0.125
fructose,41,32,0.125
fructose,41,33,0
fructose,41,34,0
wheast_paste,3,0.041666667,1
wheast_paste,3,0.166666667,0
wheast_paste,3,0.333333333,2
wheast_paste,3,1,0
wheast_paste,3,2,1
wheast_paste,3,3,1
wheast_paste,3,4,0
wheast_paste,3,5,0
wheast_paste,3,6,0
wheast_paste,3,7,0
wheast_paste,3,8,1
wheast_paste,3,9,0
wheast_paste,3,10,0
wheast_paste,3,11,0
wheast_paste,3,12,0
wheast_paste,3,14,0
wheast_paste,3,15,1
wheast_paste,3,16,1
wheast_paste,3,17,0
wheast_paste,3,18,0
wheast_paste,3,19,0
wheast_paste,3,20,0
wheast_paste,3,21,0
wheast_paste,3,22,0
wheast_paste,3,23,0
wheast_paste,3,24,0
wheast_paste,3,25,0
wheast_paste,3,26,0
wheast_paste,3,27,0
wheast_paste,3,28,0
wheast_paste,3,29,0
wheast_paste,3,30,0
wheast_paste,3,31,0
wheast_paste,3,32,0
wheast_paste,3,33,0
wheast_paste,3,34,0
wheast_paste,6,0.041666667,3
wheast_paste,6,0.166666667,0
wheast_paste,6,0.333333333,0
wheast_paste,6,1,0
wheast_paste,6,2,0
wheast_paste,6,3,0
wheast_paste,6,4,0
wheast_paste,6,5,0
wheast_paste,6,6,0
wheast_paste,6,7,0
wheast_paste,6,8,0
wheast_paste,6,9,0
wheast_paste,6,10,0
wheast_paste,6,11,0
wheast_paste,6,12,0
wheast_paste,6,14,0
wheast_paste,6,15,0
wheast_paste,6,16,0
wheast_paste,6,17,0
wheast_paste,6,18,0
wheast_paste,6,19,0
wheast_paste,6,20,0
wheast_paste,6,21,0
wheast_paste,6,22,0
wheast_paste,6,23,0
wheast_paste,6,24,0
wheast_paste,6,25,0
wheast_paste,6,26,0
wheast_paste,6,27,0
wheast_paste,6,28,0
wheast_paste,6,29,0
wheast_paste,6,30,0
wheast_paste,6,31,0
wheast_paste,6,32,0
wheast_paste,6,33,0
wheast_paste,6,34,0
wheast_paste,8,0.041666667,0
wheast_paste,8,0.166666667,2
wheast_paste,8,0.333333333,1
wheast_paste,8,1,0
wheast_paste,8,2,0
wheast_paste,8,3,0
wheast_paste,8,4,0
wheast_paste,8,5,0
wheast_paste,8,6,0
wheast_paste,8,7,0
wheast_paste,8,8,0
wheast_paste,8,9,0
wheast_paste,8,10,1
wheast_paste,8,11,0
wheast_paste,8,12,0
wheast_paste,8,14,0
wheast_paste,8,15,0
wheast_paste,8,16,0
wheast_paste,8,17,0
wheast_paste,8,18,0
wheast_paste,8,19,0
wheast_paste,8,20,0
wheast_paste,8,21,0
wheast_paste,8,22,0
wheast_paste,8,23,0
wheast_paste,8,24,0
wheast_paste,8,25,0
wheast_paste,8,26,0
wheast_paste,8,27,0
wheast_paste,8,28,0
wheast_paste,8,29,0
wheast_paste,8,30,0
wheast_paste,8,31,0
wheast_paste,8,32,0
wheast_paste,8,33,0
wheast_paste,8,34,0
wheast_paste,12,0.041666667,2
wheast_paste,12,0.166666667,3
wheast_paste,12,0.333333333,1
wheast_paste,12,1,1
wheast_paste,12,2,0
wheast_paste,12,3,0
wheast_paste,12,4,0
wheast_paste,12,5,2
wheast_paste,12,6,2
wheast_paste,12,7,0
wheast_paste,12,8,0
wheast_paste,12,9,0
wheast_paste,12,10,0
wheast_paste,12,11,0
wheast_paste,12,12,0
wheast_paste,12,14,0
wheast_paste,12,15,0
wheast_paste,12,16,0
wheast_paste,12,17,0
wheast_paste,12,18,0
wheast_paste,12,19,0
wheast_paste,12,20,0
wheast_paste,12,21,0
wheast_paste,12,22,0
wheast_paste,12,23,0
wheast_paste,12,24,0
wheast_paste,12,25,0
wheast_paste,12,26,0
wheast_paste,12,27,0
wheast_paste,12,28,0
wheast_paste,12,29,0
wheast_paste,12,30,0
wheast_paste,12,31,0
wheast_paste,12,32,0
wheast_paste,12,33,0
wheast_paste,12,34,0
wheast_paste,28,0.041666667,1
wheast_paste,28,0.166666667,4
wheast_paste,28,0.333333333,1
wheast_paste,28,1,2
wheast_paste,28,2,2
wheast_paste,28,3,2
wheast_paste,28,4,0
wheast_paste,28,5,0
wheast_paste,28,6,1
wheast_paste,28,7,0
wheast_paste,28,8,0
wheast_paste,28,9,0
wheast_paste,28,10,0
wheast_paste,28,11,0
wheast_paste,28,12,0
wheast_paste,28,14,0
wheast_paste,28,15,0
wheast_paste,28,16,0
wheast_paste,28,17,0
wheast_paste,28,18,0
wheast_paste,28,19,0
wheast_paste,28,20,0
wheast_paste,28,21,0
wheast_paste,28,22,0
wheast_paste,28,23,0
wheast_paste,28,24,0
wheast_paste,28,25,0
wheast_paste,28,26,0
wheast_paste,28,27,0
wheast_paste,28,28,0
wheast_paste,28,29,0
wheast_paste,28,30,0
wheast_paste,28,31,0
wheast_paste,28,32,0
wheast_paste,28,33,0
wheast_paste,28,34,0
wheast_paste,33,0.041666667,0
wheast_paste,33,0.166666667,0
wheast_paste,33,0.333333333,2
wheast_paste,33,1,1
wheast_paste,33,2,0
wheast_paste,33,3,0
wheast_paste,33,4,0
wheast_paste,33,5,0
wheast_paste,33,6,0
wheast_paste,33,7,0
wheast_paste,33,8,0
wheast_paste,33,9,0
wheast_paste,33,10,0
wheast_paste,33,11,0
wheast_paste,33,12,0
wheast_paste,33,14,0
wheast_paste,33,15,0
wheast_paste,33,16,0
wheast_paste,33,17,0
wheast_paste,33,18,0
wheast_paste,33,19,0
wheast_paste,33,20,0
wheast_paste,33,21,0
