treatment,plant,day,num_sdb
wheast_paste,3,0.041666667,1
wheast_paste,3,0.166666667,0
wheast_paste,3,0.333333333,2
wheast_paste,3,1,0
wheast_paste,3,2,1
wheast_paste,3,3,1
wheast_paste,3,4,0
wheast_paste,3,5,0
wheast_paste,3,6,0
wheast_paste,3,7,0
wheast_paste,3,8,1
wheast_paste,3,9,0
wheast_paste,3,10,0
wheast_paste,3,11,0
wheast_paste,3,12,0
wheast_paste,3,14,0
wheast_paste,3,15,1
wheast_paste,3,16,1
wheast_paste,3,17,0
wheast_paste,3,18,0
wheast_paste,3,19,0
wheast_paste,3,20,0
wheast_paste,3,21,0
wheast_paste,3,22,0
wheast_paste,3,23,0
wheast_paste,3,24,0
wheast_paste,3,25,0
wheast_paste,3,26,0
wheast_paste,3,27,0
wheast_paste,3,28,0
wheast_paste,3,29,0
wheast_paste,3,30,0
wheast_paste,3,31,0
wheast_paste,3,32,0
wheast_paste,3,33,0
wheast_paste,3,34,0
wheast_paste,6,0.041666667,3
wheast_paste,6,0.166666667,0
wheast_paste,6,0.333333333,0
wheast_paste,6,1,0
wheast_paste,6,2,0
wheast_paste,6,3,0
wheast_paste,6,4,0
wheast_paste,6,5,0
wheast_paste,6,6,0
wheast_paste,6,7,0
wheast_paste,6,8,0
wheast_paste,6,9,0
wheast_paste,6,10,0
wheast_paste,6,11,0
wheast_paste,6,12,0
wheast_paste,6,14,0
wheast_paste,6,15,0
wheast_paste,6,16,0
wheast_paste,6,17,0
wheast_paste,6,18,0
wheast_paste,6,19,0
wheast_paste,6,20,0
wheast_paste,6,21,0
wheast_paste,6,22,0
wheast_paste,6,23,0
wheast_paste,6,24,0
wheast_paste,6,25,0
wheast_paste,6,26,0
wheast_paste,6,27,0
wheast_paste,6,28,0
wheast_paste,6,29,0
wheast_paste,6,30,0
wheast_paste,6,31,0
wheast_paste,6,32,0
wheast_paste,6,33,0
wheast_paste,6,34,0
wheast_paste,8,0.041666667,0
wheast_paste,8,0.166666667,2
wheast_paste,8,0.333333333,1
wheast_paste,8,1,0
wheast_paste,8,2,0
wheast_paste,8,3,0
wheast_paste,8,4,0
wheast_paste,8,5,0
wheast_paste,8,6,0
wheast_paste,8,7,0
wheast_paste,8,8,0
wheast_paste,8,9,0
wheast_paste,8,10,1
wheast_paste,8,11,0
wheast_paste,8,12,0
wheast_paste,8,14,0
wheast_paste,8,15,0
wheast_paste,8,16,0
wheast_paste,8,17,0
wheast_paste,8,18,0
wheast_paste,8,19,0
wheast_paste,8,20,0
wheast_paste,8,21,0
wheast_paste,8,22,0
wheast_paste,8,23,0
wheast_paste,8,24,0
wheast_paste,8,25,0
wheast_paste,8,26,0
wheast_paste,8,27,0
wheast_paste,8,28,0
wheast_paste,8,29,0
wheast_paste,8,30,0
wheast_paste,8,31,0
wheast_paste,8,32,0
wheast_paste,8,33,0
wheast_paste,8,34,0
wheast_paste,12,0.041666667,2
wheast_paste,12,0.166666667,3
wheast_paste,12,0.333333333,1
wheast_paste,12,1,1
wheast_paste,12,2,0
wheast_paste,12,3,0
wheast_paste,12,4,0
wheast_paste,12,5,2
wheast_paste,12,6,2
wheast_paste,12,7,0
wheast_paste,12,8,0
wheast_paste,12,9,0
wheast_paste,12,10,0
wheast_paste,12,11,0
wheast_paste,12,12,0
wheast_paste,12,14,0
wheast_paste,12,15,0
wheast_paste,12,16,0
wheast_paste,12,17,0
wheast_paste,12,18,0
wheast_paste,12,19,0
wheast_paste,12,20,0
wheast_paste,12,21,0
wheast_paste,12,22,0
wheast_paste,12,23,0
wheast_paste,12,24,0
wheast_paste,12,25,0
wheast_paste,12,26,0
wheast_paste,12,27,0
wheast_paste,12,28,0
wheast_paste,12,29,0
wheast_paste,12,30,0
wheast_paste,12,31,0
wheast_paste,12,32,0
wheast_paste,12,33,0
wheast_paste,12,34,0
wheast_paste,28,0.041666667,1
wheast_paste,28,0.166666667,4
wheast_paste,28,0.333333333,1
wheast_paste,28,1,2
wheast_paste,28,2,2
wheast_paste,28,3,2
wheast_paste,28,4,0
wheast_paste,28,5,0
wheast_paste,28,6,1
wheast_paste,28,7,0
wheast_paste,28,8,0
wheast_paste,28,9,0
wheast_paste,28,10,0
wheast_paste,28,11,0
wheast_paste,28,12,0
wheast_paste,28,14,0
wheast_paste,28,15,0
wheast_paste,28,16,0
wheast_paste,28,17,0
wheast_paste,28,18,0
wheast_paste,28,19,0
wheast_paste,28,20,0
wheast_paste,28,21,0
wheast_paste,28,22,0
wheast_paste,28,23,0
wheast_paste,28,24,0
wheast_paste,28,25,0
wheast_paste,28,26,0
wheast_paste,28,27,0
wheast_paste,28,28,0
wheast_paste,28,29,0
wheast_paste,28,30,0
wheast_paste,28,31,0
wheast_paste,28,32,0
wheast_paste,28,33,0
wheast_paste,28,34,0
wheast_paste,33,0.041666667,0
wheast_paste,33,0.166666667,0
wheast_paste,33,0.333333333,2
wheast_paste,33,1,1
wheast_paste,33,2,0
wheast_paste,33,3,0
wheast_paste,33,4,0
wheast_paste,33,5,0
wheast_paste,33,6,0
wheast_paste,33,7,0
wheast_paste,33,8,0
wheast_paste,33,9,0
wheast_paste,33,10,0
wheast_paste,33,11,0
wheast_paste,33,12,0
wheast_paste,33,14,0
wheast_paste,33,15,0
wheast_paste,33,16,0
wheast_paste,33,17,0
wheast_paste,33,18,0
wheast_paste,33,19,0
wheast_paste,33,20,0
wheast_paste,33,21,0
wheast_paste,33,22,0
wheast_paste,33,23,0
wheast_paste,33,24,0
wheast_paste,33,25,0
wheast_paste,33,26,0
wheast_paste,33,27,0
wheast_paste,33,28,0
wheast_paste,33,29,0
wheast_paste,33,30,0
wheast_paste,33,31,0
wheast_paste,33,32,0
wheast_paste,33,33,0
wheast_paste,33,34,0
wheast_paste,36,0.041666667,0
wheast_paste,36,0.166666667,0
wheast_paste,36,0.333333333,0
wheast_paste,36,1,1
wheast_paste,36,2,0
wheast_paste,36,3,0
wheast_paste,36,4,0
wheast_paste,36,5,0
wheast_paste,36,6,0
wheast_paste,36,7,1
wheast_paste,36,8,0
wheast_paste,36,9,0
wheast_paste,36,10,0
wheast_paste,36,11,0
wheast_paste,36,12,0
wheast_paste,36,14,0
wheast_paste,36,15,0
wheast_paste,36,16,0
wheast_paste,36,17,0
wheast_paste,36,18,0
wheast_paste,36,19,0
wheast_paste,36,20,0
wheast_paste,36,21,0
wheast_paste,36,22,0
wheast_paste,36,23,0
wheast_paste,36,24,0
wheast_paste,36,25,0
wheast_paste,36,26,0
wheast_paste,36,27,0
wheast_paste,36,28,0
wheast_paste,36,29,0
wheast_paste,36,30,0
wheast_paste,36,31,0
wheast_paste,36,32,0
wheast_paste,36,33,0
wheast_paste,36,34,0
wheast_paste,37,0.041666667,1
wheast_paste,37,0.166666667,0
wheast_paste,37,0.333333333,2
wheast_paste,37,1,1
wheast_paste,37,2,0
wheast_paste,37,3,0
wheast_paste,37,4,0
wheast_paste,37,5,0
wheast_paste,37,6,0
wheast_paste,37,7,0
wheast_paste,37,8,0
wheast_paste,37,9,0
wheast_paste,37,10,0
wheast_paste,37,11,0
wheast_paste,37,12,0
