treatment,plant,day,num_sdb
wheast_spray,2,0.041666667,1
wheast_spray,2,0.166666667,2
wheast_spray,2,0.333333333,4
wheast_spray,2,1,3
wheast_spray,2,2,3
wheast_spray,2,3,0
wheast_spray,2,4,1
wheast_spray,2,5,0
wheast_spray,2,6,0
wheast_spray,2,7,0
wheast_spray,2,8,0
wheast_spray,2,9,0
wheast_spray,2,10,0
wheast_spray,2,11,0
wheast_spray,2,12,0
wheast_spray,2,14,0
wheast_spray,2,15,0
wheast_spray,2,16,0
wheast_spray,2,17,0
wheast_spray,2,18,0
wheast_spray,2,19,0
wheast_spray,2,20,0
wheast_spray,2,21,0
wheast_spray,2,22,0
wheast_spray,2,23,0
wheast_spray,2,24,0
wheast_spray,2,25,0
wheast_spray,2,26,0
wheast_spray,2,27,0
wheast_spray,2,28,0
wheast_spray,2,29,0
wheast_spray,2,30,0
wheast_spray,2,31,0
wheast_spray,2,32,0
wheast_spray,2,33,0
wheast_spray,2,34,0
wheast_spray,4,0.041666667,0
wheast_spray,4,0.166666667,2
wheast_spray,4,0.333333333,2
wheast_spray,4,1,1
wheast_spray,4,2,1
wheast_spray,4,3,3
wheast_spray,4,4,1
wheast_spray,4,5,0
wheast_spray,4,6,0
wheast_spray,4,7,0
wheast_spray,4,8,0
wheast_spray,4,9,0
wheast_spray,4,10,0
wheast_spray,4,11,0
wheast_spray,4,12,0
wheast_spray,4,14,0
wheast_spray,4,15,0
wheast_spray,4,16,0
wheast_spray,4,17,0
wheast_spray,4,18,0
wheast_spray,4,19,0
wheast_spray,4,20,0
wheast_spray,4,21,0
wheast_spray,4,22,0
wheast_spray,4,23,0
wheast_spray,4,24,0
wheast_spray,4,25,0
wheast_spray,4,26,0
wheast_spray,4,27,0
wheast_spray,4,28,0
wheast_spray,4,29,0
wheast_spray,4,30,0
wheast_spray,4,31,0
wheast_spray,4,32,0
wheast_spray,4,33,0
wheast_spray,4,34,0
wheast_spray,16,0.041666667,2
wheast_spray,16,0.166666667,1
wheast_spray,16,0.333333333,2
wheast_spray,16,1,2
wheast_spray,16,2,1
wheast_spray,16,3,2
wheast_spray,16,4,0
wheast_spray,16,5,0
wheast_spray,16,6,2
wheast_spray,16,7,2
wheast_spray,16,8,1
wheast_spray,16,9,2
wheast_spray,16,10,0
wheast_spray,16,11,0
wheast_spray,16,12,0
wheast_spray,16,14,0
wheast_spray,16,15,0
wheast_spray,16,16,0
wheast_spray,16,17,0
wheast_spray,16,18,0
wheast_spray,16,19,0
wheast_spray,16,20,0
wheast_spray,16,21,0
wheast_spray,16,22,0
wheast_spray,16,23,0
wheast_spray,16,24,0
wheast_spray,16,25,0
wheast_spray,16,26,0
wheast_spray,16,27,0
wheast_spray,16,28,0
wheast_spray,16,29,0
wheast_spray,16,30,0
wheast_spray,16,31,0
wheast_spray,16,32,0
wheast_spray,16,33,0
wheast_spray,16,34,0
wheast_spray,17,0.041666667,1
wheast_spray,17,0.166666667,2
wheast_spray,17,0.333333333,0
wheast_spray,17,1,1
wheast_spray,17,2,1
wheast_spray,17,3,1
wheast_spray,17,4,0
wheast_spray,17,5,0
wheast_spray,17,6,0
wheast_spray,17,7,0
